method,chunk_config,stage2_retrieval_embedding_model,stage3_retrieval_embedding_model,boundary_embedding_model,stage2_avg_chunk_size,stage3_avg_chunk_size,delta_avg_chunk_size,stage2_n_chunks,stage3_n_chunks,delta_n_chunks,stage2_recall@1,stage3_recall@1,delta_recall@1,stage2_recall@3,stage3_recall@3,delta_recall@3,stage2_recall@5,stage3_recall@5,delta_recall@5
transformer,"target=8,min=4,max=12,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,8.143,8.143,-0.000,7346,7346,0,0.4778,0.5517,0.0739,0.7094,0.7931,0.0837,0.7734,0.8473,0.0739
transformer,"target=10,min=6,max=14,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,10.031,10.031,0.000,5963,5963,0,0.5567,0.6305,0.0738,0.7438,0.7734,0.0296,0.8374,0.8621,0.0247
transformer,"target=12,min=8,max=16,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,11.911,11.911,-0.000,5022,5022,0,0.5271,0.6305,0.1034,0.7537,0.8030,0.0493,0.8522,0.8867,0.0345
transformer,"target=15,min=11,max=19,overlap=0",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,14.787,14.787,0.000,4045,4045,0,0.5862,0.6601,0.0739,0.7685,0.8522,0.0837,0.8374,0.9163,0.0789
fixed,"fixed_size=6,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,5.966,5.966,-0.000,12005,12005,0,0.4877,0.5222,0.0345,0.6946,0.7833,0.0887,0.7783,0.8571,0.0788
fixed,"fixed_size=8,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,7.929,7.929,-0.000,8604,8604,0,0.4926,0.6305,0.1379,0.7241,0.7783,0.0542,0.7931,0.8424,0.0493
fixed,"fixed_size=10,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,9.881,9.881,-0.000,6713,6713,0,0.5271,0.5961,0.0690,0.7340,0.7635,0.0295,0.8079,0.8571,0.0492
fixed,"fixed_size=12,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,11.825,11.825,0.000,5507,5507,0,0.5567,0.6207,0.0640,0.7635,0.8177,0.0542,0.8276,0.8818,0.0542
fixed,"fixed_size=15,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,14.708,14.708,-0.000,4349,4349,0,0.5862,0.6700,0.0838,0.7882,0.8424,0.0542,0.8571,0.9064,0.0493
bilstm,"target=6,min=2,max=10,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,6.511,6.511,0.000,10817,10817,0,0.4384,0.5123,0.0739,0.6404,0.7389,0.0985,0.7931,0.8276,0.0345
bilstm,"target=8,min=4,max=12,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,8.358,8.358,0.000,8102,8102,0,0.4877,0.5369,0.0492,0.7241,0.7833,0.0592,0.8227,0.8571,0.0344
bilstm,"target=10,min=6,max=14,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,10.173,10.173,-0.000,6499,6499,0,0.5320,0.5862,0.0542,0.7438,0.8177,0.0739,0.8325,0.8719,0.0394
bilstm,"target=12,min=8,max=16,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,11.995,11.995,0.000,5422,5422,0,0.5074,0.6059,0.0985,0.7537,0.8177,0.0640,0.8276,0.8818,0.0542
bilstm,"target=15,min=11,max=19,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,14.838,14.838,0.000,4308,4308,0,0.5567,0.6207,0.0640,0.7882,0.8128,0.0246,0.8374,0.8867,0.0493
transformer,"target=6,min=2,max=10,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,6.255,6.255,0.000,11344,11344,0,0.5074,0.5714,0.0640,0.6847,0.7734,0.0887,0.8128,0.8374,0.0246
transformer,"target=8,min=4,max=12,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,8.251,8.251,-0.000,8222,8222,0,0.4975,0.5862,0.0887,0.7143,0.7537,0.0394,0.7882,0.8177,0.0295
transformer,"target=10,min=6,max=14,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,10.085,10.085,-0.000,6562,6562,0,0.5222,0.5862,0.0640,0.7291,0.7685,0.0394,0.7833,0.8424,0.0591
transformer,"target=12,min=8,max=16,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,11.916,11.916,0.000,5461,5461,0,0.5369,0.6207,0.0838,0.7586,0.8079,0.0493,0.8473,0.8768,0.0295
transformer,"target=15,min=11,max=19,overlap=1",sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,14.816,14.816,-0.000,4315,4315,0,0.5714,0.6207,0.0493,0.7685,0.8374,0.0689,0.8424,0.9015,0.0591
