arm,method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold,n_docs,n_questions,dataset
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6767,0.8533,0.9067,0.6833,0.8733,0.9233,14.752,6716,,,target,15,11,19,0,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6367,0.8433,0.8867,0.6500,0.8567,0.9033,5.951,19915,6,1,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6667,0.8567,0.8900,0.6800,0.8700,0.9033,7.897,14296,8,1,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7000,0.8500,0.9000,0.7167,0.8667,0.9200,9.841,11153,10,1,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7000,0.8633,0.9167,0.7100,0.8767,0.9300,11.738,9183,12,1,,,,,,,472,300,triviaqa-rc.wikipedia
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7033,0.8667,0.9067,0.7133,0.8800,0.9267,14.550,7277,15,1,,,,,,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6367,0.8100,0.8733,0.6500,0.8233,0.8867,6.484,17981,,,target,6,2,10,1,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6600,0.8433,0.8900,0.6733,0.8533,0.9067,8.376,13368,,,target,8,4,12,1,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6900,0.8433,0.9100,0.7033,0.8500,0.9233,10.143,10785,,,target,10,6,14,1,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7133,0.8600,0.9100,0.7167,0.8700,0.9267,12.005,8960,,,target,12,8,16,1,,472,300,triviaqa-rc.wikipedia
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6933,0.8667,0.9200,0.7100,0.8833,0.9400,14.797,7147,,,target,15,11,19,1,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6200,0.8067,0.8667,0.6300,0.8200,0.8867,6.185,19017,,,target,6,2,10,1,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6767,0.8300,0.8833,0.6900,0.8467,0.9067,8.236,13626,,,target,8,4,12,1,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6867,0.8467,0.8833,0.7033,0.8633,0.9000,10.083,10856,,,target,10,6,14,1,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7000,0.8567,0.9033,0.7067,0.8700,0.9167,11.949,9006,,,target,12,8,16,1,,472,300,triviaqa-rc.wikipedia
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.7200,0.8633,0.9000,0.7267,0.8733,0.9167,14.779,7156,,,target,15,11,19,1,,472,300,triviaqa-rc.wikipedia
