arm,method,model_type,embedding_model,boundary_embedding_model,retrieval_embedding_model,recall@1,recall@3,recall@5,recall_unconstrained@1,recall_unconstrained@3,recall_unconstrained@5,avg_chunk_size,n_chunks,fixed_size,fixed_overlap,semantic_policy,semantic_target_size,semantic_min_size,semantic_max_size,semantic_overlap,boundary_threshold,rerank_depth,reranker_model,rerank_seconds,n_pairs,pool_recall@20,pool_recall@50
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5911,0.8227,0.8719,0.6059,0.8276,0.8818,10.065,5943,,,target,10,6,14,0,,,none,,,0.9458,0.9754
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6650,0.8177,0.8867,0.6847,0.8424,0.9064,10.065,5943,,,target,10,6,14,0,,20,BAAI/bge-reranker-base,102.8641,4060,0.9458,0.9754
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6552,0.8325,0.8818,0.6700,0.8522,0.8966,10.065,5943,,,target,10,6,14,0,,50,BAAI/bge-reranker-base,245.1355,10150,0.9458,0.9754
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.8128,0.8768,0.6207,0.8177,0.8818,11.901,5026,,,target,12,8,16,0,,,none,,,0.9655,0.9901
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.7980,0.8966,0.6453,0.8227,0.9113,11.901,5026,,,target,12,8,16,0,,20,BAAI/bge-reranker-base,110.7742,4060,0.9655,0.9901
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6256,0.8030,0.9064,0.6305,0.8227,0.9163,11.901,5026,,,target,12,8,16,0,,50,BAAI/bge-reranker-base,267.9585,10150,0.9655,0.9901
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6552,0.8227,0.9015,0.6798,0.8325,0.9064,14.747,4056,,,target,15,11,19,0,,,none,,,0.9754,1.0000
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6453,0.8473,0.9064,0.6601,0.8621,0.9212,14.747,4056,,,target,15,11,19,0,,20,BAAI/bge-reranker-base,120.9176,4060,0.9754,1.0000
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6256,0.8424,0.9015,0.6404,0.8522,0.9163,14.747,4056,,,target,15,11,19,0,,50,BAAI/bge-reranker-base,295.3453,10150,0.9754,1.0000
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5813,0.7783,0.8571,0.5911,0.7931,0.8670,6.350,9420,,,target,6,2,10,0,,,none,,,0.9704,0.9754
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6108,0.8325,0.8768,0.6207,0.8424,0.8818,6.350,9420,,,target,6,2,10,0,,20,BAAI/bge-reranker-base,75.4914,4060,0.9704,0.9754
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.7931,0.8719,0.6158,0.8079,0.8768,6.350,9420,,,target,6,2,10,0,,50,BAAI/bge-reranker-base,181.4071,10150,0.9704,0.9754
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5517,0.7931,0.8473,0.5665,0.8030,0.8522,8.143,7346,,,target,8,4,12,0,,,none,,,0.9606,0.9803
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6158,0.8079,0.8670,0.6256,0.8227,0.8818,8.143,7346,,,target,8,4,12,0,,20,BAAI/bge-reranker-base,88.1604,4060,0.9606,0.9803
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6010,0.7931,0.8670,0.6158,0.8079,0.8768,8.143,7346,,,target,8,4,12,0,,50,BAAI/bge-reranker-base,211.5336,10150,0.9606,0.9803
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.7734,0.8621,0.6453,0.7833,0.8670,10.031,5963,,,target,10,6,14,0,,,none,,,0.9754,0.9852
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8325,0.8916,0.6502,0.8571,0.9064,10.031,5963,,,target,10,6,14,0,,20,BAAI/bge-reranker-base,100.9714,4060,0.9754,0.9852
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6108,0.8177,0.8768,0.6207,0.8374,0.8867,10.031,5963,,,target,10,6,14,0,,50,BAAI/bge-reranker-base,241.7927,10150,0.9754,0.9852
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.8030,0.8867,0.6404,0.8177,0.8916,11.911,5022,,,target,12,8,16,0,,,none,,,0.9901,1.0000
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6700,0.8571,0.9163,0.6798,0.8768,0.9261,11.911,5022,,,target,12,8,16,0,,20,BAAI/bge-reranker-base,111.6173,4060,0.9901,1.0000
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6502,0.8325,0.9015,0.6601,0.8571,0.9163,11.911,5022,,,target,12,8,16,0,,50,BAAI/bge-reranker-base,267.0411,10150,0.9901,1.0000
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8522,0.9163,0.6700,0.8670,0.9261,14.787,4045,,,target,15,11,19,0,,,none,,,0.9852,1.0000
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8325,0.9015,0.6601,0.8522,0.9113,14.787,4045,,,target,15,11,19,0,,20,BAAI/bge-reranker-base,120.8018,4060,0.9852,1.0000
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6158,0.8128,0.8768,0.6404,0.8374,0.8916,14.787,4045,,,target,15,11,19,0,,50,BAAI/bge-reranker-base,292.8791,10150,0.9852,1.0000
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5222,0.7833,0.8571,0.5320,0.7980,0.8719,5.966,12005,6,1,,,,,,,,none,,,0.9606,0.9754
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6108,0.7833,0.8473,0.6207,0.7931,0.8571,5.966,12005,6,1,,,,,,,20,BAAI/bge-reranker-base,71.8089,4060,0.9606,0.9754
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5567,0.7635,0.8276,0.5665,0.7734,0.8374,5.966,12005,6,1,,,,,,,50,BAAI/bge-reranker-base,170.1802,10150,0.9606,0.9754
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.7783,0.8424,0.6404,0.7882,0.8571,7.929,8604,8,1,,,,,,,,none,,,0.9458,0.9754
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6305,0.8227,0.8719,0.6502,0.8424,0.8916,7.929,8604,8,1,,,,,,,20,BAAI/bge-reranker-base,87.7772,4060,0.9458,0.9754
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6010,0.8325,0.8719,0.6207,0.8473,0.8867,7.929,8604,8,1,,,,,,,50,BAAI/bge-reranker-base,209.7758,10150,0.9458,0.9754
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5961,0.7635,0.8571,0.6158,0.7783,0.8719,9.881,6713,10,1,,,,,,,,none,,,0.9704,0.9852
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8276,0.8966,0.6502,0.8424,0.9113,9.881,6713,10,1,,,,,,,20,BAAI/bge-reranker-base,102.4295,4060,0.9704,0.9852
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.8325,0.9064,0.6207,0.8374,0.9113,9.881,6713,10,1,,,,,,,50,BAAI/bge-reranker-base,245.2694,10150,0.9704,0.9852
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8177,0.8818,0.6355,0.8325,0.8916,11.825,5507,12,1,,,,,,,,none,,,0.9655,0.9803
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8522,0.9113,0.6798,0.8571,0.9212,11.825,5507,12,1,,,,,,,20,BAAI/bge-reranker-base,112.8472,4060,0.9655,0.9803
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6404,0.8473,0.9113,0.6601,0.8621,0.9163,11.825,5507,12,1,,,,,,,50,BAAI/bge-reranker-base,272.7103,10150,0.9655,0.9803
bge,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6700,0.8424,0.9064,0.6798,0.8522,0.9064,14.708,4349,15,1,,,,,,,,none,,,0.9803,0.9951
rerank20,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6404,0.8621,0.9310,0.6601,0.8818,0.9360,14.708,4349,15,1,,,,,,,20,BAAI/bge-reranker-base,121.8069,4060,0.9803,0.9951
rerank50,fixed,none,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6404,0.8473,0.9163,0.6502,0.8670,0.9261,14.708,4349,15,1,,,,,,,50,BAAI/bge-reranker-base,295.5704,10150,0.9803,0.9951
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5123,0.7389,0.8276,0.5271,0.7586,0.8424,6.511,10817,,,target,6,2,10,1,,,none,,,0.9409,0.9852
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.7882,0.8374,0.6453,0.8030,0.8571,6.511,10817,,,target,6,2,10,1,,20,BAAI/bge-reranker-base,79.6731,4060,0.9409,0.9852
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.7833,0.8522,0.6207,0.7980,0.8571,6.511,10817,,,target,6,2,10,1,,50,BAAI/bge-reranker-base,190.5064,10150,0.9409,0.9852
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5369,0.7833,0.8571,0.5567,0.7980,0.8719,8.358,8102,,,target,8,4,12,1,,,none,,,0.9606,0.9803
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6158,0.8473,0.8818,0.6305,0.8621,0.9015,8.358,8102,,,target,8,4,12,1,,20,BAAI/bge-reranker-base,92.9053,4060,0.9606,0.9803
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6158,0.8030,0.8818,0.6256,0.8177,0.8966,8.358,8102,,,target,8,4,12,1,,50,BAAI/bge-reranker-base,220.1389,10150,0.9606,0.9803
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.8177,0.8719,0.6010,0.8276,0.8768,10.173,6499,,,target,10,6,14,1,,,none,,,0.9704,0.9852
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6502,0.8522,0.8966,0.6601,0.8719,0.9064,10.173,6499,,,target,10,6,14,1,,20,BAAI/bge-reranker-base,103.8693,4060,0.9704,0.9852
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8276,0.8867,0.6453,0.8424,0.8966,10.173,6499,,,target,10,6,14,1,,50,BAAI/bge-reranker-base,247.9186,10150,0.9704,0.9852
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.8177,0.8818,0.6207,0.8276,0.8916,11.995,5422,,,target,12,8,16,1,,,none,,,0.9606,0.9754
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8424,0.8916,0.6650,0.8522,0.9015,11.995,5422,,,target,12,8,16,1,,20,BAAI/bge-reranker-base,112.4957,4060,0.9606,0.9754
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6502,0.8424,0.8818,0.6552,0.8522,0.8867,11.995,5422,,,target,12,8,16,1,,50,BAAI/bge-reranker-base,269.1624,10150,0.9606,0.9754
bge,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8128,0.8867,0.6404,0.8227,0.8916,14.838,4308,,,target,15,11,19,1,,,none,,,0.9754,0.9852
rerank20,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6700,0.8374,0.9113,0.6897,0.8621,0.9261,14.838,4308,,,target,15,11,19,1,,20,BAAI/bge-reranker-base,121.6295,4060,0.9754,0.9852
rerank50,bilstm,bilstm,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8276,0.8916,0.6798,0.8522,0.9064,14.838,4308,,,target,15,11,19,1,,50,BAAI/bge-reranker-base,297.2002,10150,0.9754,0.9852
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5714,0.7734,0.8374,0.5911,0.7783,0.8424,6.255,11344,,,target,6,2,10,1,,,none,,,0.9606,0.9803
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6059,0.7931,0.8966,0.6207,0.8079,0.9064,6.255,11344,,,target,6,2,10,1,,20,BAAI/bge-reranker-base,75.1116,4060,0.9606,0.9803
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5764,0.7783,0.8621,0.5911,0.7882,0.8719,6.255,11344,,,target,6,2,10,1,,50,BAAI/bge-reranker-base,181.1037,10150,0.9606,0.9803
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7537,0.8177,0.6059,0.7635,0.8374,8.251,8222,,,target,8,4,12,1,,,none,,,0.9507,0.9852
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5911,0.7980,0.8768,0.6059,0.8177,0.8916,8.251,8222,,,target,8,4,12,1,,20,BAAI/bge-reranker-base,90.1570,4060,0.9507,0.9852
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5665,0.7980,0.8867,0.5764,0.8227,0.9015,8.251,8222,,,target,8,4,12,1,,50,BAAI/bge-reranker-base,215.5019,10150,0.9507,0.9852
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.5862,0.7685,0.8424,0.5961,0.7783,0.8571,10.085,6562,,,target,10,6,14,1,,,none,,,0.9655,0.9803
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6650,0.8276,0.8916,0.6798,0.8473,0.9113,10.085,6562,,,target,10,6,14,1,,20,BAAI/bge-reranker-base,102.9235,4060,0.9655,0.9803
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8473,0.8966,0.6453,0.8522,0.9064,10.085,6562,,,target,10,6,14,1,,50,BAAI/bge-reranker-base,245.3648,10150,0.9655,0.9803
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8079,0.8768,0.6305,0.8227,0.8867,11.916,5461,,,target,12,8,16,1,,,none,,,0.9803,0.9901
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6798,0.8424,0.9064,0.6847,0.8621,0.9212,11.916,5461,,,target,12,8,16,1,,20,BAAI/bge-reranker-base,111.9235,4060,0.9803,0.9901
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6601,0.8473,0.9113,0.6700,0.8621,0.9163,11.916,5461,,,target,12,8,16,1,,50,BAAI/bge-reranker-base,267.1641,10150,0.9803,0.9901
bge,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8374,0.9015,0.6305,0.8522,0.9113,14.816,4315,,,target,15,11,19,1,,,none,,,0.9754,0.9951
rerank20,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6355,0.8522,0.8867,0.6552,0.8719,0.8966,14.816,4315,,,target,15,11,19,1,,20,BAAI/bge-reranker-base,121.6885,4060,0.9754,0.9951
rerank50,transformer,transformer,BAAI/bge-base-en-v1.5,sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-base-en-v1.5,0.6207,0.8522,0.9015,0.6453,0.8670,0.9163,14.816,4315,,,target,15,11,19,1,,50,BAAI/bge-reranker-base,294.0389,10150,0.9754,0.9951
